nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm0000001,Fred Astaire,1899,1987,"soundtrack,actor,miscellaneous","tt0043044,tt0072308,tt0050419,tt0045537"
nm0000002,Lauren Bacall,1924,2014,"actress,soundtrack","tt0071877,tt0038355,tt0117057,tt0037382"
nm0000003,Brigitte Bardot,1934,\N,"actress,soundtrack,producer","tt0057345,tt0054452,tt0059956,tt0049189"
nm0000004,John Belushi,1949,1982,"actor,writer,soundtrack","tt0077975,tt0078723,tt0072562,tt0080455"
nm0000005,Ingmar Bergman,1918,2007,"writer,director,actor","tt0083922,tt0060827,tt0050976,tt0050986"
nm0000006,Ingrid Bergman,1915,1982,"actress,soundtrack,producer","tt0071877,tt0038109,tt0077711,tt0038787"
nm0000007,Humphrey Bogart,1899,1957,"actor,soundtrack,producer","tt0033870,tt0034583,tt0037382,tt0043265"
nm0000008,Marlon Brando,1924,2004,"actor,soundtrack,director","tt0070849,tt0068646,tt0078788,tt0047296"
nm0000009,Richard Burton,1925,1984,"actor,producer,soundtrack","tt0059749,tt0057877,tt0061184,tt0087803"
nm0000010,James Cagney,1899,1986,"actor,soundtrack,director","tt0029870,tt0031867,tt0035575,tt0055256"
nm0000011,Gary Cooper,1901,1961,"actor,soundtrack,producer","tt0035211,tt0044706,tt0034167,tt0027996"
nm0000012,Bette Davis,1908,1989,"actress,soundtrack,make_up_department","tt0056687,tt0042192,tt0035140,tt0031210"
nm0000013,Doris Day,1922,\N,"soundtrack,actress,producer","tt0053172,tt0055100,tt0048317,tt0060463"
nm0000014,Olivia de Havilland,1916,\N,"actress,soundtrack","tt0040806,tt0031381,tt0041452,tt0029843"
nm0000015,James Dean,1931,1955,"actor,miscellaneous","tt0048028,tt0049261,tt0045458,tt0048545"
nm0000016,Georges Delerue,1925,1992,"composer,soundtrack,music_department","tt0069946,tt0096320,tt0091763,tt0079477"
nm0000017,Marlene Dietrich,1901,1992,"soundtrack,actress,music_department","tt0052311,tt0055031,tt0051201,tt0040367"
nm0000018,Kirk Douglas,1916,\N,"actor,producer,soundtrack","tt0049456,tt0052365,tt0056195,tt0054331"
nm0000019,Federico Fellini,1920,1993,"writer,director,assistant_director","tt0053779,tt0071129,tt0056801,tt0047528"
nm0000020,Henry Fonda,1905,1982,"actor,producer,soundtrack","tt0064116,tt0082846,tt0032551,tt0050083"
nm0000021,Joan Fontaine,1917,2013,"actress,soundtrack,producer","tt0034248,tt0036969,tt0039504,tt0032976"
nm0000022,Clark Gable,1901,1960,"actor,soundtrack,producer","tt0052278,tt0025316,tt0026752,tt0031381"
nm0000023,Judy Garland,1922,1969,"soundtrack,actress","tt0037059,tt0032138,tt0055031,tt0047522"
nm0000024,John Gielgud,1904,2000,"actor,writer,director","tt0045943,tt0082031,tt0076574,tt0071877"
nm0000025,Jerry Goldsmith,1929,2004,"music_department,soundtrack,composer","tt0100802,tt0112715,tt0117731,tt0119488"
nm0000026,Cary Grant,1904,1986,"actor,soundtrack,producer","tt0036613,tt0053125,tt0048728,tt0056923"
nm0000027,Alec Guinness,1914,2000,"actor,soundtrack,writer","tt0050212,tt0051739,tt0076759,tt0041546"
nm0000028,Rita Hayworth,1918,1987,"actress,soundtrack,producer","tt0040525,tt0036723,tt0038559,tt0040552"
nm0000029,Margaux Hemingway,1954,1996,"actress,miscellaneous","tt0077800,tt0102122,tt0074802,tt0110138"
